Ticker,Description,Sector,Upcoming Earnings Date,Yearly Performance,Market Capitalization,Recent Earnings Date,Shares Float,6-Month Performance,Average Volume (10 day),Price,Average Day Range (14),Exponential Moving Average (20),Simple Moving Average (50),"MACD Level (12, 26)","MACD Signal (12, 26)",Simple Moving Average (200),1-Month High,3-Month High,52 Week High,3-Month Low,6-Month High,6-Month Low,52 Week Low,1-Month Low,3-Month Performance,"Change 1W, %","Change 1M, %",Change %
JPM,JP Morgan Chase & Co.,Finance,2025-04-11,24.64700266318276,693602057717.0178,2025-01-15,2785932159.6,17.186318972033256,12975645,248.06,5.879464285714278,244.2265426692807,256.95399999999995,-5.647760882658304,-6.863978741205466,228.9748000000001,267,280.25,280.25,224.23,280.25,204.34,179.2,224.23,3.6043937685335985,2.6610934072755894,-6.268656716417902,2.6610934072755894
V,Visa Inc.,Commercial Services,2025-04-29,18.575862068965517,671776465016.874,2025-01-30,1718886157.44,25.413034756920386,7972869.2,343.87,6.620207142856771,340.9483735645172,340.08520000000004,-1.7461028973673365,-1.2298930126090268,298.7993999999998,366.54,366.54,366.54,303.84,366.54,270,252.7,326.3808,8.077442876449693,2.4459274265625868,-5.19423230680157,2.4459274265625868
XOM,Exxon Mobil Corporation,Energy Minerals,2025-04-25,2.044413112442715,502472823632.4052,2025-01-31,4331099573.58,-0.5880585483109433,19237767.3,115.8,2.573750000000132,112.01516103583128,110.1504000000002,1.5813274483247142,0.8565054782891433,114.15339999999998,116.91,116.91,126.34,103.67,126.34,103.67,103.67,103.67,8.711978971085244,0.2597402597402573,4.015090272163836,0.2597402597402573
MA,Mastercard Incorporated,Finance,2025-04-24,11.337060473879289,495668568633.8658,2025-01-30,818686559.04,12.152405313969792,3118332.6999999853,543.67,10.599342857142688,541.6527798598013,546.7869999999999,-5.089786808716326,-4.913739127165966,502.2434500000001,582.23,582.23,582.23,499.92,582.23,489,428.86,517.71,2.7207285506452243,1.4896675315947476,-5.6636185386337194,1.4896675315947476
UNH,UnitedHealth Group Incorporated,Health Services,2025-04-22,4.3012924071082415,472448901969.66437,2025-01-16,912756345.744,-10.62003564815616,4571394.9,516.5,11.469185714285743,498.19450681877555,510.30099999999993,1.717845970496171,-4.053149234956046,545.0680499999997,519,553.91,630.73,438.5,630.73,438.5,436.38,450.07,2.3988897700237954,-0.06771790654929336,8.745999663129531,-0.06771790654929336
ORCL,Oracle Corporation,Technology Services,2025-06-17,20.044957755212785,434291689847.1575,2025-03-10,1648718986.2,-7.645059335678927,12480873.3,154.87,5.194971428571449,156.0344506476807,164.34220000000005,-4.323719498737688,-4.877819413765982,159.93550000000005,174.86,191.99,198.3099,137.7,198.3099,137.7,112.78,137.7,-8.738951090159096,1.734217959666304,-6.738528242803804,1.734217959666304
NFLX,"Netflix, Inc.",Technology Services,2025-04-22,55.72769802614716,415775594751.39557,2025-01-21,424695115.39400005,34.81137309292649,5973148.900000012,971.99,34.07664999999963,949.0836885427603,956.9217999999995,-4.954300607314167,-10.20097313195394,795.1958000000006,1015.17,1064.5,1064.5,823.519,1064.5,677.88,542.01,854.5,6.228415300546449,1.2183819471201456,-0.873990372848162,1.2183819471201456
COST,Costco Wholesale Corporation,Retail Trade,2025-05-30,24.39584648657362,410868533485.4123,2025-03-06,442655873.85499996,2.5514950166112915,2606410.6,926.04,25.14645714285598,949.626763506243,984.5236000000003,-29.819789371016327,-24.35559018140895,916.1706000000001,1066,1078.235,1078.235,881.56,1078.235,867.16,697.27,881.56,-2.597976313187627,1.8454567450454187,-11.688807087477704,1.8454567450454187
JNJ,Johnson & Johnson,Health Technology,2025-04-15,4.8814952790802195,393504035531.42523,2025-01-22,2406688276.8,0.17791411042944297,8195889.8,163.29,2.192264285714515,162.89873331569564,157.04380000000012,1.5032376710168194,2.2155699181284083,155.90015000000048,169.99,169.99,169.99,140.68,169.99,140.68,140.68,161.1,12.61379310344827,-0.2077858583389375,-1.0483577748151849,-0.2077858583389375
PG,Procter & Gamble Company (The),Consumer Non-Durables,2025-04-24,2.127003699136879,388424707459.37427,2025-01-22,2343372744.5,-4.837134486126264,8911078.3,165.65,3.038435714286294,169.41375580536518,167.95439999999988,-0.6718057423153141,0.22919286131861627,169.09349999999986,179.99,179.99,180.43,157.47,180.43,157.47,153.52,164.12,-1.1752774131965151,-0.6239126522286832,-4.711228716060744,-0.6239126522286832
ABBV,AbbVie Inc.,Health Technology,2025-04-25,18.02177960841844,369259266072.7325,2025-01-31,1763413411.05,7.819587628865972,6882033.4,209.17,4.582185714285913,208.7661500955006,194.90540000000004,4.290177212841144,5.616648921420115,186.18444999999986,218.66,218.66,218.66,168.06,218.66,163.81,153.58,201.28,17.24118603217308,-0.3999809532879403,0.0669760321484889,-0.3999809532879403
HD,"Home Depot, Inc. (The)",Retail Trade,2025-05-20,-7.833996300894378,361355510308.5585,2025-02-25,992754068.481,-9.207307941895882,4525450.1,363.77,8.837528571428322,368.6969062666599,392.6868000000006,-11.81222036161597,-11.61222657243003,384.43745000000024,401.01,426.1859,439.37,345.26,439.37,345.26,323.77,345.26,-7.232295412235742,3.5939057382884823,-8.277861825516904,3.5939057382884823
BAC,Bank of America Corporation,Finance,2025-04-15,15.129644480085549,327533479433.773,2025-01-16,7589812850.6,9.73248407643312,42067866.1,43.07,1.0193071428570235,42.501784176899115,44.704600000000006,-0.766337540497716,-1.0896648315420403,42.57520000000006,46.96,47.98,48.08,39.18,48.08,38.725,34.15,39.18,-1.9576599134987467,1.4127619496114938,-6.572668112798268,1.4127619496114938
BABA,Alibaba Group Holding Limited,Retail Trade,2025-05-14,85.5408388520971,319384018892.803,2025-02-20,2391205195.15444,42.48781521508794,21368159.1,134.48,5.00375000000011,135.14998992475515,116.57924999999992,5.4521431458433085,7.367875330395455,94.10841249999963,148.43,148.43,148.43,80.06,148.43,80.06,68.36,126.1,56.919486581096834,-0.48838241823294115,1.4866802505471277,-0.48838241823294115
KO,Coca-Cola Company (The),Consumer Non-Durables,2025-04-28,13.929279576999338,296730929465.33636,2025-02-11,4270217332.5000005,-3.848835587784118,19637397.7,68.95,1.171621428571413,69.49070471082291,66.97179999999997,0.4063338982142568,0.8520467732301737,66.4644000000001,73.22,73.22,73.53,60.615,73.22,60.615,57.93,68.18,10.85209003215434,0.4077471967380241,-3.1737115573655257,0.4077471967380241
TMUS,"T-Mobile US, Inc.",Communications,2025-04-24,60.37654053384529,295666279703.78046,2025-01-29,463229036.28000003,28.001581731006862,4304108.200000001,258.96,5.640171428571307,259.03698607023205,247.79429999999996,1.4443623335772031,3.0882122170799855,216.46419999999995,276.49,276.49,276.49,208.39,276.49,201.815,159.14,248.26,16.75383228133452,1.2195121951219419,-3.9786421446846445,1.2195121951219419
CVX,Chevron Corporation,Energy Minerals,2025-04-25,6.409595047717305,290533966242.90076,2025-01-31,1759783081.6000001,12.300520602946694,10351864,165.02,3.22642857142813,158.73722377315434,156.3403999999998,2.401335483294673,1.2679296509548956,152.62880000000013,166.43,166.43,167.11,142.35,166.43,140.55,135.3672,147.74,15.31795946890288,0.1638846737481094,4.034800151305009,0.1638846737481094
CRM,"Salesforce, Inc.",Technology Services,2025-05-28,-7.5520496573128195,274807555218.71454,2025-02-26,936191785,5.734886300610091,6993362.2,285.96,7.834007142857843,288.6210953151136,312.6004000000001,-9.770399548088164,-11.496814147561713,290.89409999999975,313.7,367.09,369,269.75,369,269.14,212,269.75,-16.629737609329453,1.9029292281376862,-3.9919422528118322,1.9029292281376862
WFC,Wells Fargo & Company,Finance,2025-04-11,28.489880643487286,244246483654.35022,2025-01-15,3282373191.89,36.84598378776713,16847178.3,74.28,2.131978571428519,72.88629040868713,75.71139999999983,-1.095827609846836,-1.5254487896389555,65.58765000000007,78.98,81.5,81.5,65.515,81.5,53.315,50.15,65.515,5.108249610867411,2.426916712631005,-5.158324821246159,2.426916712631005
CSCO,"Cisco Systems, Inc.",Electronic Technology,2025-05-14,21.818181818181824,242556489465.1889,2025-02-12,3969104128.39,15.978695073235684,23572978.7,60.97,1.185657142857167,61.561474449115956,61.84559999999996,-0.5448085282014645,-0.33090170856268536,54.718350000000015,65.29,66.5,66.5,58.17,66.5,52.1301,44.5,59.23,3.6904761904761934,1.1111111111111138,-4.897831851505226,1.1111111111111138
PM,Philip Morris International Inc,Consumer Non-Durables,2025-04-23,63.90871728314949,235638617138.9164,2025-02-06,1552058142.28,24.32321575061526,6395466.5,151.55,2.590442857142932,151.58373589825226,142.31920000000002,2.1469360416184315,3.1189214641876726,124.86435000000017,159.51,159.51,159.51,116.12,159.51,116.12,87.82,149.6486,22.732426303854883,0.0462107208872601,-2.402112313240591,0.0462107208872601
MRK,"Merck & Company, Inc.",Health Technology,2025-04-24,-25.430163987398014,233178396948.50262,2025-02-04,2523743829.64,-19.939288811795315,19350221.7,92.31,2.069864285714459,93.21679933586746,93.21000000000005,0.4653384178689066,0.4886398140536097,107.85429999999992,97.37,102.97,134.63,81.04,114.79,81.04,81.04,88.86,-6.9643217093327925,-0.859198797121681,0.06504065040650653,-0.859198797121681
IBM,International Business Machines Corporation,Technology Services,2025-04-23,29.40104166666666,230378806306.5672,2025-01-29,926384953.728,12.334403400099472,5000762.7,248.45,7.905499714285696,250.05094898950148,246.49699999999973,-0.864715964109763,0.35524199131579653,215.70859999999993,266.45,266.45,266.45,214.61,266.45,203.51,162.62,237.224,11.778467629459655,1.8780497806208158,-1.5805736016479202,1.8780497806208158
PLTR,Palantir Technologies Inc.,Technology Services,2025-05-12,299.7933884297521,226913256853.29822,2025-02-03,2124149017.65,162.26619680130116,105761813,96.75,5.779628571428631,88.40582107950112,89.01324000000002,-0.6399525328873068,-1.8716020133035745,54.615859999999984,99.01,125.41,125.41,63.4,125.41,36.05,20.33,74.57,19.311875693673688,6.3654353562005355,13.930758360810172,6.3654353562005355
GE,GE Aerospace,Electronic Technology,2025-04-22,49.51845644112618,225637872960.39294,2025-01-23,1070425388.9900001,10.746457356582193,4446377.800000003,210.23,4.884957142856962,201.0798115422587,198.42780000000022,1.6978475881531665,0.6741092477670445,178.90994999999995,210.88,212.1929,212.1929,166.0117,212.1929,159.6,133.99,187.6803,24.220042543134,2.9882917748493583,1.5702000193255388,2.9882917748493583
ABT,Abbott Laboratories,Health Technology,2025-04-16,14.06922525107604,220623268772.16785,2025-01-22,1722696587.36,11.764189070462134,7365544.800000012,127.21,2.7183142857143707,130.13168604965864,128.42240000000004,-1.0370691605891125,0.16823099972007777,115.94329999999998,141.23,141.23,141.23,110.86,141.23,110.86,99.71,124.5,11.450849833537754,0.6886180148804736,-7.825519889863052,0.6886180148804736
MCD,McDonald's Corporation,Consumer Services,2025-04-24,7.67577849795689,218389332481.05273,2025-02-10,714210938.65,1.778044151433434,3612461.5,305.67,6.6689285714284665,305.1680778371589,298.7563999999996,1.0132101480352844,1.6559546840446335,287.3522875,326.32,326.32,326.32,276.53,326.32,276.53,243.53,295.71,4.940263663828634,0.07530120481928307,-0.8627120293192255,0.07530120481928307
LIN,Linde plc,Process Industries,2025-05-01,-1.1348953398225599,217108989767.50186,2025-02-06,469379347.36,-4.555093555093561,2690635.9,459.09,7.922357142857379,458.7773118907647,452.5686000000002,0.9625806927019198,1.8018071230226755,452.60424999999975,472.2346,472.2346,487.49,410.69,487.49,410.69,410.69,447.5,8.742716376900841,0.16581938777736369,-1.7043143132427014,0.16581938777736369
PEP,"PepsiCo, Inc.",Consumer Non-Durables,2025-04-24,-15.35660617269681,200856152908.1509,2025-02-03,1366747752.5,-14.055164319248837,6870876.2,146.45,2.84142857142848,149.54369060496805,148.9843999999995,-0.8700859179772067,-0.04214040791776019,162.54099999999994,160.15,160.15,183.41,141.51,177.5,141.51,141.51,144.75,-2.6910299003322335,0.6875214850464078,-4.574183879585593,0.6875214850464078
MS,Morgan Stanley,Finance,2025-04-11,32.880667236954665,200429563253.2561,2025-01-16,1231918596.6,20.944038929440385,8397210.1,124.27,3.674549999999954,121.88554840050185,129.97220000000007,-3.1146126079476915,-4.114559546713021,115.50914999999993,133.99,142.03,142.03,109.215,142.03,102.97,85.01,109.215,-0.6396418005916664,3.4376560679207553,-6.641123882503205,3.4376560679207553
TMO,Thermo Fisher Scientific Inc,Health Technology,2025-04-23,-11.40383763334584,196138086755.3531,2025-01-30,376610602.036,-15.307801326013657,1593172.2,519.9,11.03591428571417,524.1875340007698,545.5216000000003,-6.633658526791464,-7.6973431205129055,563.4404999999997,543.845,610.97,627.88,508.35,623.765,493.3,493.3,508.35,-0.6402293358815141,0.4210770300548462,-1.7127949183303195,0.4210770300548462
AXP,American Express Company,Finance,2025-04-17,21.309757694826455,195205577601.43222,2025-01-24,701458531.104,4.032348646523658,3710420,277.86,7.185357142857242,276.420283802157,297.2937999999998,-8.343485469502866,-10.070360212124253,272.98065,303.465,326.275,326.275,253.52,326.275,253.52,214.5148,253.52,-7.160279327742326,2.7170899412221448,-7.675438596491217,2.7170899412221448
T,AT&T Inc.,Communications,2025-04-23,56.83536940081442,193523819802.37454,2025-01-27,7167204562.78,24.699352451433857,46373260.8,26.96,0.6624785714285544,26.50180616464965,25.134599999999978,0.4022331103612409,0.4693298087086166,21.962749999999982,27.97,27.97,27.97,21.38,27.97,21.05,15.9401,24.89,18.03852889667251,-0.22205773501109816,-1.6417365924844922,-0.22205773501109816
ACN,Accenture plc,Technology Services,2025-06-20,-12.31695829646333,192302615347.17554,2025-03-20,624366405.074,-8.342782120904692,5110200.5,307.18,7.54582142857231,331.2969895114947,357.5371000000005,-15.496849246144961,-13.237637563349502,343.7549250000004,366.93,398.35,398.35,291.51,398.35,291.51,278.69,291.51,-14.660369495763296,0.609196908161933,-11.856527977044475,0.609196908161933
BX,Blackstone Inc.,Finance,2025-04-17,16.047310186951545,185333975740.65955,2025-01-30,722293252.76,-3.0720203951561458,4839238.7,152.08,5.026078571428343,150.19002554217144,162.9771999999999,-4.265931632686005,-5.9131335735107715,155.63974999999994,163.6599,188.85,200.96,135.6,200.96,135.6,115.82,135.6,-12.26997404095759,2.5558028188010122,-5.63415239513526,2.5558028188010122
AMD,"Advanced Micro Devices, Inc.",Electronic Technology,2025-05-06,-35.75418994413409,184491427645.05774,2025-02-04,1610551319.04,-28.17034700315458,33572060.4,113.85,3.5353500000001787,105.10579814217937,110.18520000000014,-0.6452813040144179,-2.5732307469522415,139.01257500000003,114.85,131.71,187.28,94.73,174.05,94.73,94.73,94.73,-10.71288526390088,6.961668545659523,14.009613458842374,6.961668545659523
VZ,Verizon Communications Inc.,Communications,2025-04-22,6.921944035346097,183374717661.25574,2025-01-24,4207670924.6,-2.7678571428571317,31272716.99999999,43.56,1.041114285714265,43.459793595317265,41.53879999999998,0.5656012708073916,0.7288748061185897,41.67395000000026,47.355,47.355,47.355,37.585,47.355,37.585,37.585,41.1744,9.172932330827077,-0.9774948852011813,1.0672853828306283,-0.9774948852011813
ISRG,"Intuitive Surgical, Inc.",Health Technology,2025-04-17,29.591030704548352,182211275494.10135,2025-01-23,356004253.05,4.64609053497942,2809688.5,508.58,18.567228571429098,517.4897737342985,559.5948000000001,-21.67886837392433,-21.52291461946911,505.44142500000004,600.58,616,616,474.37,616,470.06,364.17,474.37,-3.6789424342572534,3.26707141261751,-11.265811742126843,3.26707141261751
DIS,Walt Disney Company (The),Consumer Services,2025-05-07,-14.317482039001023,181104282156.2379,2025-02-05,1806651092.3000002,6.984194788551908,10488197.1,100.18,2.2942785714282508,102.85688685118275,107.8851999999999,-2.9655212503337225,-2.7807614841342714,101.41819999999981,115.55,118.59,123.74,95.925,118.63,91.46,83.91,95.925,-9.950561797752803,0.7239091091896371,-11.968365553602805,0.7239091091896371
GS,"Goldman Sachs Group, Inc. (The)",Finance,2025-04-14,39.98552123552125,181013847144.443,2025-01-15,310497215.301,16.369107321965902,2868699.6,580.1,17.195057142857877,572.6706764470018,607.9534,-15.326626101418924,-18.91042871457915,540.0057499999998,637.3,672.19,672.19,520.06,672.19,484.2,387.12,520.06,1.02751654475792,2.6471316841844565,-6.7797972006620615,2.6471316841844565
RTX,RTX Corporation,Electronic Technology,2025-04-29,42.998195137488054,179823244421.2406,2025-01-28,1333945827.87,11.76665836860011,5344893.200000006,134.69,2.356671428571161,130.6996906846782,127.26240000000003,1.99053504657644,1.6359888447397108,118.75645000000003,135.74,135.74,135.74,113.73,135.74,113.73,95.5786,124.625,16.162138852953856,1.7526629901034925,1.2782916008722374,1.7526629901034925
QCOM,QUALCOMM Incorporated,Electronic Technology,2025-04-30,-5.585373046299026,177048488269.40494,2025-02-05,1104880728,-3.728650469088278,6760408.8,160.08,4.448585714285883,158.58315322694304,164.12720000000002,-1.8308371788886006,-2.547629461360909,171.71065000000007,166.59,177,230.63,150.42,182.1,149.43,149.43,150.42,0.9077155824508486,2.0788164774901285,1.851498377552984,2.0788164774901285
PDD,PDD Holdings Inc.,Retail Trade,2025-05-23,5.016393442622954,175873909836,2025-03-20,1351111322.23304,15.506671474936894,11057540.3,128.12,4.835892857142866,122.55110527656808,115.6164,3.2952626161564638,2.65075320763547,120.1361,131.52,133.33,164.69,94.14,155.67,94.14,88.01,110.04,27.24202999304798,1.1686670878079628,12.692409182865694,1.1686670878079628
NOW,"ServiceNow, Inc.",Technology Services,2025-04-23,9.679376306890054,175044380000,2025-01-29,205113170,-5.424777677607489,2164434.3,849.73,28.213321428571817,868.5596966604396,967.8774000000003,-39.35417585010714,-44.636994806953794,917.8564999999995,953.35,1198.09,1198.09,777.91,1198.09,777.91,637.99,777.91,-22.54621358515331,2.6553911205074017,-8.60759765961108,2.6553911205074017
ADBE,Adobe Inc.,Technology Services,2025-06-12,-22.51163887088219,171553969627.3358,2025-03-12,433444444.02,-25.00855480780198,5892745.7,394.47,12.135092857143377,414.2997017403006,432.36899999999963,-15.24026424788616,-11.499447859172843,495.39259999999973,453.26,465.6999,587.75,374.5,557.8999,374.5,374.5,374.5,-11.652855543113096,1.8617982750606923,-10.05335643925574,1.8617982750606923
INTU,Intuit Inc.,Technology Services,2025-05-22,-5.6029438935763975,171396667530.0236,2025-02-25,272944208.33599997,-3.4336656743687812,1733771.1,613.09,15.781192857143765,598.5753892291373,596.9774000000007,2.288861323243509,0.3370302286278237,625.0723500000001,638.99,648.99,714.78,553.24,714.78,553.24,553.24,553.24,-4.054773082942092,1.4982451493278706,-0.12218167600677701,1.4982451493278706
AMGN,Amgen Inc.,Health Technology,2025-04-23,13.335015681891925,168886498650.83774,2025-02-04,535989842.28999996,-4.443768996960488,3188295,314.38,6.8062071428566355,312.5949080397382,297.51099999999957,4.9592512906211255,6.3486065823817075,306.64844999999985,335.88,335.88,346.85,257.05,335.88,253.3,253.3,303.1,19.77293508076805,-0.5252499683584435,2.0515483996624013,-0.5252499683584435
TXN,Texas Instruments Incorporated,Electronic Technology,2025-04-29,8.024224072672219,168798848414.53238,2025-01-23,908401166.694,-8.678743723540414,6081345.5,185.51,4.980407142856876,184.07048786012248,187.47039999999964,-2.5565625622390087,-2.3474863208008703,196.5072249999994,205.41,205.75,220.385,172.09,220.385,172.09,159.11,172.09,-2.6143104624914786,3.6368715083798833,-5.347211592428194,3.6368715083798833
CAT,"Caterpillar, Inc.",Producer Manufacturing,2025-04-24,-6.289083927591884,163295038608.7758,2025-01-30,476908747.588,-11.71317829457364,2866233,341.67,7.849685714285272,341.6677145549298,357.55920000000026,-4.6606512485218445,-5.842005196016784,360.9073499999997,352.41,409.59,418.5,318.68,418.5,318.68,307.05,318.68,-6.250514473864721,1.7541247245220215,-0.6628870475359712,1.7541247245220215
PGR,Progressive Corporation (The),Finance,2025-04-10,33.106631042020894,160620901899.12775,2025-01-29,584572479.6800001,6.152177281884393,3804825.6,274,6.697750000000042,275.82076614791777,262.0288000000004,3.4580199721430063,5.524559271178733,244.26415000000006,292.99,292.99,292.99,228.5409,292.99,228.5409,201.34,266.48,13.56571475939818,0.41779667228614903,-2.8368794326241136,0.41779667228614903
UBER,"Uber Technologies, Inc.",Transportation,2025-04-30,-4.12280701754385,159830054733.08438,2025-02-05,2007030980.5700002,-1.2901561088891755,18707900.5,76.51,2.7380785714285167,73.94126608043366,72.54580000000003,0.2115728241644348,0.07269638682639208,71.1077999999999,78.88,82.1,87,60.02,87,59.33,54.84,69.36,23.462965951266753,0.8834388185654031,0.6578081831337982,0.8834388185654031
SPGI,S&P Global Inc.,Commercial Services,2025-04-24,17.367305587255746,155112727369.31488,2025-02-11,307417712.40000004,-2.9970549171334513,1609478.6,503.94,10.637857142857172,502.5861116646674,512.8246,-6.797030615211213,-7.351321097092318,498.59184999999985,537.55,545.39,545.39,474.04,545.39,474.04,407.69,474.04,0.8303487464735143,1.2171607616293088,-5.583242777382249,1.2171607616293088
BKNG,Booking Holdings Inc. Common Stock,Consumer Services,2025-04-30,29.924385581122063,154550399693.48126,2025-02-20,32733621.4128,12.738536370512927,317579.8,4709.72,137.011599999998,4655.54310646848,4779.190199999997,-80.93374207057514,-94.74328271213074,4413.996099999997,5129,5282,5337.24,4279.395,5337.24,4060.98,3180,4279.395,-7.40326408153716,2.0024863230573984,-6.1062477945618125,2.0024863230573984
DHR,Danaher Corporation,Health Technology,2025-04-22,-16.549019607843135,152090267138.83423,2025-01-29,647872464.93,-22.946011514646774,3682986.8999999776,212.8,4.850921428571382,210.37538969405213,217.51520000000005,-0.8559077785646139,-1.9998623883733422,245.5093000000002,216.15,258.23,281.7,196.8,279.9,196.8,196.8,202.39,-6.883122565965077,0.6813020439061306,2.425876010781681,0.6813020439061306
BSX,Boston Scientific Corporation,Health Technology,2025-04-23,52.76000595149533,151856140133.05145,2025-02-05,1472109496.58,22.28442115292998,7099169.4,102.67,2.4223785714286947,100.40311536377307,101.51919999999998,-0.3240850395967385,-0.6821605237876037,87.60840000000002,105.57,107.17,107.17,88.81,107.17,80.64,66.8,93.291,14.255508568884935,1.9664316218095181,-1.0791020329511558,1.9664316218095181
BLK,"BlackRock, Inc.",Finance,2025-04-11,14.59051877928688,149586679844.58353,2025-01-15,144032865.69,2.2042600135777297,1248986.9,963.5,19.872285714286022,952.7901815226354,979.7084000000002,-7.890141104329814,-13.24731945938209,938.0045499999993,990.79,1084.22,1084.22,898.26,1084.22,898.26,745.5514,898.26,-7.501632041780279,1.2366952812247152,-1.4604512262472102,1.2366952812247152
SCHW,Charles Schwab Corporation (The),Finance,2025-04-21,10.077092511013207,149082326142.67636,2025-01-21,1707470714.29,23.9497752286467,9659206,79.96,2.075678571428611,77.60190598747093,78.88940000000002,-0.1742119578764374,-0.774031329145013,72.78285000000001,81.1,84.5,84.5,69.46,84.5,62.41,61.01,69.46,6.984211934706983,2.0028064804184122,0.5406764742864235,2.0028064804184122
PFE,"Pfizer, Inc.",Health Technology,2025-04-29,-4.841645431379681,148251839615.31885,2025-02-04,5669022619.4,-11.689189189189193,68066673.1,26.14,0.4936428571428273,26.129588038664544,26.192800000000005,-0.001720686756598866,-0.019926221389095007,27.60980000000003,27.24,27.57,31.54,25.17,30.43,24.48,24.48,25.495,-1.6923655509590045,-0.5327245053272472,-1.0972379871358273,-0.5327245053272472
NEE,"NextEra Energy, Inc.",Utilities,2025-04-29,12.616522018643513,144135831963.14783,2025-01-24,2054810464.6299999,-17.18472993735966,12650728.5,70.07,1.97234285714282,71.36842680332015,70.58959999999996,0.0709881297941024,0.3539556272349187,75.50904999999999,76.29,76.29,86.1,65.89,86.1,65.89,61.3,69.02,-3.244959955813323,-1.1427765237020349,-0.1425110446059691,-1.1427765237020349
